dataset,method,experiment,gate_type,feature,unit,mu,sigma,count,b_z_median,b_z_q1,b_z_q3,b_raw_median,b_raw_q1,b_raw_q3,n_dynamic
eICU_composite_risk_score,lgo,lgo_hard,lgo_thre,creatinine_mg_dl,,1.9850548941798944,1.797193835631869,25,-0.3678716441014637,-0.5600726039204721,-0.17460349611813375,1.323918243096983,0.9784958629077327,1.6712585672766114,0
eICU_composite_risk_score,lgo,lgo_hard,lgo_thre,gcs,,9.551587301587302,4.728379006299186,14,0.7114843240980925,0.7114843240980925,0.7114843240980925,12.91575484296369,12.91575484296369,12.91575484296369,5
eICU_composite_risk_score,lgo,lgo_hard,lgo_thre,hr_max,,117.13932980599647,23.514873635435986,10,-1.5830074100672997,-1.5830074100672997,-1.5830074100672997,79.91511059430512,79.91511059430512,79.91511059430512,0
eICU_composite_risk_score,lgo,lgo_hard,lgo_thre,lactate_mmol_l,,3.738514109347442,3.8276767612024005,77,-0.3192310372757629,-0.6975587582132845,-0.07838947063105371,2.5166008865124674,1.068484660961249,3.43846455429,17
eICU_composite_risk_score,lgo,lgo_hard,lgo_thre,mechanical_ventilation_std,,0.7610229276895943,0.4264587098657417,57,-0.5600726039204721,-0.6530304973711167,-0.3813967726358169,0.5221750875905233,0.48253238427772427,0.5983729520843662,24
eICU_composite_risk_score,lgo,lgo_hard,lgo_thre,one,,,,24,-0.41445144858238064,-0.4678772622734012,-0.397963710755588,,,,14
eICU_composite_risk_score,lgo,lgo_hard,lgo_thre,resprate_max,,32.63205467372134,9.78898729805723,10,-1.2425668199567206,-1.2425668199567206,-1.2425668199567206,20.468583856177638,20.468583856177638,20.468583856177638,0
eICU_composite_risk_score,lgo,lgo_hard,lgo_thre,spo2_min,,84.26829805996472,12.312638877013562,20,-0.6717417100560152,-0.698168946373352,-0.6240040062841269,75.99738496541745,75.67199594812459,76.58516207277856,16
eICU_composite_risk_score,lgo,lgo_hard,lgo_thre,unknown,,,,27,-0.41445144858238064,-0.5720335357801549,-0.19169865633323419,,,,12
eICU_composite_risk_score,lgo,lgo_hard,lgo_thre,vasopressor_use_std,,0.43694885361552027,0.4960086218399867,52,-0.07838947063105371,-1.2425668199567206,-0.07838947063105371,0.3980670003210452,-0.17937500229530756,0.3980670003210452,36
eICU_composite_risk_score,lgo,lgo_hard,lgo_thre,zero,,,,33,1.1336621828253506,0.8174689230831139,2.0379991795171617,,,,11
