dataset,method,experiment,n_models,complexity_median,complexity_q1,complexity_q3,complexity_mean,complexity_std,gates_median,gates_q1,gates_q3,depth_median
eICU_composite_risk_score,lgo,base,100,73.5,54.0,80.0,69.84,15.335783730421559,0.0,0.0,0.0,10.0
eICU_composite_risk_score,lgo,lgo_hard,100,85.0,77.0,121.25,95.12,28.128593597579286,4.5,3.0,7.25,10.0
eICU_composite_risk_score,lgo,lgo_soft,100,179.5,154.0,186.0,174.3,32.81890930669099,22.0,21.0,24.0,10.0
eICU_composite_risk_score,lgo_base,base,100,73.5,54.0,80.0,69.84,15.335783730421559,0.0,0.0,0.0,10.0
eICU_composite_risk_score,lgo_lgo_hard,lgo_hard,100,85.0,77.0,121.25,95.12,28.128593597579286,4.5,3.0,7.25,10.0
eICU_composite_risk_score,lgo_lgo_soft,lgo_soft,100,179.5,154.0,186.0,174.3,32.81890930669099,22.0,21.0,24.0,10.0
eICU_composite_risk_score,operon,base,10,64.5,60.0,72.75,65.4,9.968840342676664,0.0,0.0,0.0,14.0
eICU_composite_risk_score,operon_base,base,10,64.5,60.0,72.75,65.4,9.968840342676664,0.0,0.0,0.0,14.0
eICU_composite_risk_score,pstree,pstree,10,5.0,5.0,5.0,5.7,3.400980250849256,0.0,0.0,0.0,2.0
eICU_composite_risk_score,pstree_base,pstree,10,5.0,5.0,5.0,5.7,3.400980250849256,0.0,0.0,0.0,2.0
eICU_composite_risk_score,pysr,base,100,12.0,10.0,14.0,12.49,2.611145497302057,0.0,0.0,0.0,1.0
eICU_composite_risk_score,pysr_base,base,100,12.0,10.0,14.0,12.49,2.611145497302057,0.0,0.0,0.0,1.0
eICU_composite_risk_score,rils_rols,rils_rols,10,27.5,27.0,29.0,27.9,0.994428926011753,0.0,0.0,0.0,3.0
eICU_composite_risk_score,rils_rols_base,rils_rols,10,27.5,27.0,29.0,27.9,0.994428926011753,0.0,0.0,0.0,3.0
