rank,expr,cv_loss,cv_r2,instability,test_loss,test_r2,complexity,height,size,eval_calls,runtime_sec,used_lgo,used_lgo_thre,used_lgo_pair,scaler_json,experiment,typed_mode,use_zscore,prior_mode,seed,method
0,sqrt(vasopressor_use_std + sqrt(lactate_mmol_l - 0.40816244))*(1.4552252*sqrt(sqrt(creatinine_mg_dl) + vasopressor_use_std) + 1.93628976303048),0.7524158239880662,0.7788473722426346,0.0804083801271687,,,14.25,0,19,,6.84029746055603,False,False,False,"{""mean"": [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], ""std"": [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]}",base,none,False,baseline,2,pysr
1,4.035978*lactate_mmol_l**(1/4) - 0.025506351*map_mmhg + 2.0951357*vasopressor_use_std + 0.59204906,0.7667822008664126,0.7751637530510573,0.07124184007190093,,,12.5,0,16,,6.841431617736816,False,False,False,"{""mean"": [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], ""std"": [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]}",base,none,False,baseline,2,pysr
2,4.0475354*lactate_mmol_l**(1/4) - 2.2012048*map_mmhg/sodium_min + 2.2012048*vasopressor_use_std,0.7838505369629449,0.7702289787956783,0.07321619864363915,,,13.25,0,14,,6.842472791671753,False,False,False,"{""mean"": [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], ""std"": [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]}",base,none,False,baseline,2,pysr
3,4.1167073*lactate_mmol_l**(1/4) + 2.281969*vasopressor_use_std - 1.04664349733983,0.8361633789844265,0.748799264414959,0.07699309733589173,,,9.75,0,12,,6.8433966636657715,False,False,False,"{""mean"": [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], ""std"": [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]}",base,none,False,baseline,2,pysr
4,3.2776926*lactate_mmol_l**(1/4) + 2.3202941*vasopressor_use_std,0.8705283357433892,0.7398366039644386,0.06626343410948395,,,8.5,0,10,,6.844317674636841,False,False,False,"{""mean"": [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], ""std"": [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]}",base,none,False,baseline,2,pysr
5,sqrt(lactate_mmol_l) + 2.4397354*vasopressor_use_std + 2.39874198991504,0.9670918299280447,0.7119133619778204,0.05721361157889292,,,6.0,0,8,,6.845113277435303,False,False,False,"{""mean"": [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], ""std"": [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]}",base,none,False,baseline,2,pysr
6,2.4143562*sqrt(lactate_mmol_l) + 2.4143562*vasopressor_use_std,1.2492602738746466,0.6278327782864574,0.09334677744900545,,,6.0,0,6,,6.84593653678894,False,False,False,"{""mean"": [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], ""std"": [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]}",base,none,False,baseline,2,pysr
7,(vasopressor_use_std + 1.4145374)*2.716608,1.5236417329013214,0.5438170056217461,0.04140226956258297,,,3.0,0,5,,6.84660792350769,False,False,False,"{""mean"": [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], ""std"": [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]}",base,none,False,baseline,2,pysr
8,vasopressor_use_std + 4.593383,2.247543925114532,0.32448481329172896,0.038451554014364016,,,1.75,0,3,,6.8472278118133545,False,False,False,"{""mean"": [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], ""std"": [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]}",base,none,False,baseline,2,pysr
9,5.03078100000000,3.330114976343979,-0.005884120316821573,0.03523950893274076,,,1.0,0,1,,6.847739934921265,False,False,False,"{""mean"": [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], ""std"": [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]}",base,none,False,baseline,2,pysr
